Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,
,Valor tasado medio de vivienda libre de más de cinco años de antigüedad.,,,,,,,,,,
,Años: 2024 y 2025 (*),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Año 2024,,,,Año 2025,,,,Variación,
,,(trimestre),,,,(trimestre),,,,,
,,1º,2º,3º ,4º ,1º ,2º,3º ,4º ,Trimestral,Anual
,Ourense,934.3,942.1999999999999,970.5,964.4,974.7,1010.8,1021.9,1060.4,3.8,10
,Pontevedra,1450,1456.7,1499.2,1509.3999999999999,1557.3999999999999,1612.3999999999999,1653.1,1694.3,2.5,12.2
,Madrid (Comunidad de),3102.8,3185.2,3260.1,3356.2,3461.6,3615.3,3712.7,3880.7,4.5,15.6
,Murcia (Región de),1094,1090,1087.2,1124.7,1166,1176.8,1207.3,1254.9,3.9,11.6
,Navarra (Comunidad Foral de),1623.5,1657.5,1601.3,1649.6,1695.4,1762.5,1778.1,1826.2,2.7,10.7
,País Vasco,2564.6,2611.2999999999997,2570.6000000000004,2621.3,2706.7,2782.8,2855.6,2956.3,3.5,12.8
,Araba/Alava,2083.5,2097.5,2125.2,2173.2,2237,2335.4,2326.5,2391.5,2.8,10
,Gipuzkoa,2932.1,2981.6,2903.6,2972.2,3080,3103.4,3207.1,3348.5,4.4,12.7
,Bizkaia,2486.9,2539.9,2502,2543.4,2622.8,2722.7,2799.2,2886.8,3.1,13.5
,Rioja (La),1208.1,1186.3,1200.1,1238.2,1278.5,1291.5,1326.8,1343.5,1.3,8.5
,Ceuta y Melilla,1888.3,1915.7,1892.2,1927.1000000000001,1956.3999999999999,2019.8,2012.3,2095.5,4.1,8.7
,Ceuta,1887.8,1943.7,1951.1,1971.5,2044.2,2076.4,2062.3,2144.1,4,8.8
,Melilla,1901.8,1903.9,1850.7,1899.2,1885.9,1978.4,1977,2061.7,4.3,8.6
