Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,,,,,,,
,Valor tasado medio de vivienda libre de más de cinco años de antigüedad.,,,,,,,,,,,,,,,,
,"Años: 2020, 2021, 2022 y 2023 (*)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(*) Para acceder a la información de años anteriores consulte las pestañas que se encuentran en la parte inferior de este excel,,,,,,,,,,,,,,,,
,Unidad: euros / m2,,,,,,,,,,,,,,,,
,,Año 2020,,,,Año 2021,,,,Año 2022,,,,Año 2023,,,
,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,
,,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º ,2º,3º ,4º ,1º,2º,3º ,4º 
,Lugo,834.9,831.5,848.1,864.8,847.7,869.3,872.7,886.2,881.4,905.2,892.6,873.1,906.8,920.1,953.6,940.6
,Ourense,937.5,910.8,908,913.6,889.8,884.9,884.8,903.1999999999999,915.5999999999999,925.9,929,928.9,958.1999999999999,959.4,935.6999999999999,926.0999999999999
,Pontevedra,1264.1,1237.6,1264.8,1259.8,1281.8,1268.7,1261.2,1296.4,1325.2,1362.2,1353.4,1337,1369.2,1372.1,1396.6,1415.8
,Madrid (Comunidad de),2629.4,2579.4,2600.2,2564.4,2590.8,2652.3,2675.6,2750.3,2838.5,2889.8,2863.7,2874.8,2966.1,2963.8,2990.4,3067.8
,Murcia (Región de),975.1,940.9,950.1,970.7,973.4,993.3,978.7,1020.2,1038.6,1009.4,1023.0999999999999,1017.8,1040.6,1022.5999999999999,1047.3,1087.7
,Navarra (Comunidad Foral de),1420,1379.3,1379.3,1393.2,1405.4,1395.6,1413,1444.8,1501.3,1507.7,1489.8,1534.1,1541.6,1563.5,1550.3,1584.9
,País Vasco,2392.7,2382.1,2334,2384.5,2422,2423,2412.5,2448.2999999999997,2496.9,2492.7000000000003,2516.6,2508.5,2533.6,2539.8,2519.3,2555.4
,Araba/Alava,1934,1936.9,1908.6,1953,2004.4,1999.6,1965.3,2026.5,1973.7,2036,2032.1,2021.3,2062.2,2066.6,2084.4,2097.3
,Gipuzkoa,2698.2,2659.7,2644.8,2689.6,2726.7,2741.2,2726,2759.6,2811.8,2787,2830.8,2865.6,2931.6,2857.4,2842.1,2894.1
,Bizkaia,2340.3,2342.3,2268.3,2323.6,2361.7,2355.9,2354.4,2384.3,2456.8,2447,2467.5,2437.4,2437.1,2487.8,2455,2488.6
,Rioja (La),1080.4,1053,1066.1,1087.2,1054.6,1064.6,1086.5,1074.8,1104.6,1131.3,1107.4,1116.9,1141.8,1159.6,1190.1,1173.3
,Ceuta y Melilla,1657,1671.4,1717.7,1692.8000000000002,1689.3,1716.4,1720.6000000000001,1681.5,1747.8,1784.4,1779.5,1810.1000000000001,1785.8,1814.3,1852.8999999999999,1812.5
,Ceuta,1728.2,1730,1787.4,1763.5,1772.8,1781.3,1779.1,1730.9,1796.7,1836.3,1833.7,1838.2,1809.4,1849.8,1849.7,1809.8
,Melilla,1606.3,1633.1,1668.4,1641.5,1629.2,1674.5,1684.6,1653.8,1721.2,1754.9,1747.6,1803.6,1782.4,1798.9,1873.8,1831.4
