Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,,,,,,,,,,,
,Valor tasado medio de vivienda libre con mas de cinco años de antigüedad. ,,,,,,,,,,,,,,,,,,,,
,"Años: 2010, 2011, 2012, 2013 y 2014",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Unidad: euros / m2,,,,,,,,,,,,,,,,,,,,
,,Año 2010,,,,Año 2011,,,,Año 2012,,,,Año 2013,,,,Año 2014,,,
,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,
,,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º 
,Badajoz           ,998.5,1013.4,983.9000000000001,991.7,964.7,945.4,930.5,936.2,899.7,902.4,851.5,864.7,878.9,895.3,899.2,849,853.9,832.6,852,859.3
,Cáceres           ,938.5,957,946.8,971.1,978.8,986.9,1060.7,1017.3,962.1,906.8,893.5,927.4,899.8,885.9,870.9,841.9,824.5,828.1,825,819.5
,Galicia,1416.6,1406.4,1403.1000000000001,1436.9,1373.1,1369.3,1363.1,1337.1,1277.7,1271.8,1237.5,1186.3000000000002,1194,1204.2,1192.1,1196,1181.4,1164,1158.8,1162.7
,Coruña (A),1396.9,1412.9,1398.3999999999999,1448.6,1402.5,1389.9,1368.7,1342.3,1293.1,1339.1,1305.6,1227.2,1205.8,1213.7,1178.9,1202.2,1190.6,1165,1158.5,1178.1
,Lugo,989.7,1023,1019.6,1035.7,1004.4,1052.8,1007.4,1000.4,952.5,936.6,865.3,852.6,890.7,896.3,860.9,829.8,799.5,799.3,811.1,799.1
,Ourense,1108.5,1135.3,1151.7,1179.9,1123.1,1108.8,1068.5,1097.2,1052.3,1004.9,1023.3,1011.7,991.4,987.9,963.3,945.4,956.8,923,955.7,934.6
,Pontevedra,1531.6,1530.3,1536.9,1557.7,1490,1425,1465.1,1423.3,1345.1,1295.5,1256,1217.3,1249.1,1241.1,1264.5,1262.4,1248.5,1236.1,1224.7,1221.8
,Madrid (Comunidad de),2572.6,2535.7,2493.9,2451.9,2350.8,2339.9,2272.5,2229.6,2161,2099.8,2020.7,1962.4,1984.7,2015.2,2032.2,2012.7,2001.5,1997.8,1994.1,2021.7
,Murcia (Región de),1333.1,1319.6,1314.7,1284,1237,1217.3,1222.6,1208.7,1163.4,1150.7,1109.3,1036.5,1047.3,1053.4,1040.2,997.6,985.6,994.3,983.4,992.4
,Navarra (Comunidad Foral de),1598.2,1523.4,1475.1,1489,1458.9,1433.9,1360.5,1421.4,1376.9,1351.7,1321.1,1351.1,1367.7,1376.2,1370.1,1328.7,1313.3170179618764,1290.1022457067372,1281.2907600881817,1289.9881876085697
,País Vasco,2678.7,2659.2,2597.1,2619.9,2575.7,2551.1,2578,2540.4,2526,2490.9,2482,2493,2501.8,2517.7,2490.9,2435.9,2426.8,2430.2,2432.2,2399.1
,Araba/Alava,2298.4,2304.6,2230.2,2186.3,2109.5,2152.2,2223.2,2289.1,2249.6,2250.5,2071.7,2166.3,2112.4,2077.2,2062.7,2044.1,2029.5,1985.9,1965.7,1958.2
,Gipuzkoa,2858.6,2790.7,2686.7,2690.3,2791.4,2727.9,2746,2696.7,2735.3,2697,2745.4,2674.7,2677.4,2689.5,2716.5,2692.9,2679.3,2717,2730.1,2683.8
,Bizkaia,2682.1,2658.2,2633.4,2661.8,2561.8,2558.6,2567.1,2538.6,2491.9,2445.3,2455.7,2486.8,2523.9,2558.8,2493.5,2409.3,2402.4,2391.1,2386.6,2354.8
,Rioja (La),1436.3,1448,1448.2,1414.1000000000001,1427.5,1390.3,1349.4,1295,1300.1,1300.3,1266.7,1275.1,1218,1155.4,1121,1071.4,1079.4,1094.9,1067.1,1038
,Ceuta y Melilla,1620.4,1669.6,1654.8,1677.2,1604.3,1669.7,1646.8,1650.2,1649.2,1645,1631.2,1547.7,1564.7,1560.5,1545.1,1550.9,1561.9,1542.6,1546.3,1547
,Ceuta,1753.3,1786.6,1785.7,1834.2,1753.1000000000001,1832.6000000000001,1826.6,1774.8,1794.3,1801.7,1763.5,1676.8,1700.2,n.r,1673,1736.1,1770.8,1734.2,1783.8,1736.8
,Melilla,1590.5,1645.7,1581.7,1541.3,1505.1,1641.4,1575.6,1660.7,1624.4,1604.9,1634.2,1550.5,1558,n.r,n.r,1450.8,1439.9,1432.4,1404.3,1462.1
