Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Málaga            ,1485.6,1479.2,1522.9,1517.9,1538,1562.9,1528.5,1584.9,1613.5,1608.8,1612.6,1647.2,1679.3,1713,1732,1783.7,1765.8,1812.8,1821.8,1831.5
,Sevilla           ,1265.8,1275.6,1254.6,1272.8,1217.6,1237.9,1241.3,1202.6,1244.7,1251.6,1241.6,1257.9,1228.7,1254.5,1272.1,1299.7,1329.1,1286.4,1300.8,1316.2
,Aragón,1177.1,1201.1,1182,1183.6,1177.1000000000001,1181.7,1167.2,1180,1154.9,1142.7,1160.9,1181,1164.1,1179.1,1172,1208.8,1197.3,1214.8,1220.6999999999998,1215.5
,Huesca            ,1142.3,1198.9,1149.8,1173.7,1126.7,1118.7,1141.2,1107,1131.3000000000002,1122.1000000000001,1115.6000000000001,1139.6,1122.7,1100.5,1131.1,1164.2,1136.3,1154.8,1169.6,1165.5
,Teruel            ,801.9,792.5,770.9,797.4,781.2,788.8,787.6,797.4,778.7,771.9,793.4,797.5,802.1,810.9,783.4000000000001,776.1,771.5,744.2,760.4000000000001,778.2
,Zaragoza          ,1237.5,1258.7,1249.5,1239.1,1246.9,1255.1,1227.3999999999999,1254.5,1216.6,1203.4,1228.4,1251.3,1230.6,1258,1245,1292.2,1285.9,1313.4,1314.8,1304.2
,Asturias (Principado de ),1254.6,1259.7,1247.2,1276.5,1280.6,1259.2,1271.9,1260.1,1253.8,1245.7,1282.7,1291.6,1256.9,1270.5,1271.1,1271.7,1269,1299.7,1264.3,1264.7
,Balears (Illes),1862.8,1915.2,1944.9,2002.8,2048.9,2034.1,2033,2061.8999999999996,2056.2999999999997,2101.3,2145.3,2198.9,2202.4,2207.2,2256.6,2266.2,2314.6,2317.5,2363.9,2417.9
,Canarias,1298.2,1315.2,1308.2,1321.9,1333,1354.8999999999999,1342.8,1371.2,1384.2,1400.7,1417.6,1426,1438.2,1455.6,1483.7,1482.3,1510.3,1514.2,1514.2,1528.3999999999999
,Palmas (Las)      ,1359.3,1352.7,1359.5,1365.4,1401.7,1417.4,1425.4,1457.8999999999999,1473.5,1477.7,1517.5,1524.6000000000001,1542.1,1556.6,1572.2,1573.1,1605.9,1591.1,1598.4,1633.5
,Santa Cruz de Tenerife,1236.8,1272.6,1254.7,1274.6,1262.1,1288.3,1259.9,1284.5,1295.5,1323.1,1319.5,1328.7,1336.6,1356.8,1396.5,1393.4,1417.1,1438.6,1432.3,1427.3
,Cantabria,1457.4,1501.6,1473.8,1433,1449,1491.9,1456.3,1455.5,1494.7,1471.6,1475.3,1466.5,1426.1,1448.8,1436.5,1479.4,1454.7,1468.6,1489,1444.7
,Castilla y León,1034.1,1042.3,1055.8,1066.5,1058.4,1057.9,1043,1050.7,1046.2,1038.3,1036.1999999999998,1040.5,1039.5,1030.8,1032.1000000000001,1041,1045.3,1028.9,1032.6000000000001,1034.2
,Ávila             ,823.3,818.6,840.8,881.4,852.7,855.9,860.5,871.6,846.2,838.4,813.9,833.5,836.2,826.2,841,819.3,838.3,807.3,807.9,799.4
,Burgos            ,1136.2,1125.4,1132,1167.3,1124.5,1138.8,1107.4,1089.5,1129.1,1114.8,1113,1122.3,1106.4,1115.7,1114.4,1109.8,1139.1,1114.4,1134.3,1111.6
,León              ,841.1,868.5,889.4,904.1,908.1,876.3,907.7,902.0999999999999,892.6999999999999,884.6,864.8,866.2,887.5,872.5,857.6,872.5,881.7,847.6,862.8,871.1
,Palencia          ,1039.7,1053.7,1035.5,1017.4,1044.5,1001.2,996.5,1036.2,1003.6,1013.9,981.7,990.3,991.5,959.1,986,1012.9,996.4,980.7,943.4,933
,Salamanca         ,1223.2,1180.2,1208.1,1183.1,1214.7,1201.1,1168.1,1208,1193.3,1172.9,1209.6,1181.4,1178,1141.9,1171.5,1168.1,1168,1175.3,1172.8,1197.3
,Segovia           ,987.6,1005.6,1016,1010,970.4,993.8,978,940.9,965,980.9,963.5,967.3000000000001,991.5,966.1,951.4,980.2,955.1,953.5,983.6,980.6
,Soria             ,1003.3,1046,1060.6,1098,1052.6,1068.9,1037.4,994.8,1017.5,1006.4,995.3,1014,1016.5,987.1,996.3,1015.4,976.4,976.9,956.7,925.2
,Valladolid        ,1112.4,1142.9,1156.6,1158.2,1148.5,1172,1139.1,1172.6000000000001,1161.1000000000001,1155.5,1167,1196.7,1172.4,1204.7,1191.9,1230.5,1231.8,1234.4,1234.4,1249.9
,Zamora            ,829.9,851.2,847.5,869.3,895.8,911.7,873.4,897.1,867.1,858.4,879,858.8,854,846.8,853.5,842.7,860.7,828,822.2,832
,Castilla-La Mancha,876.7,878.8,874.3,884.8,878.1,871.5999999999999,868.3,876.7,874.6,869.6,869.2,869.8,865,860.5,871.3000000000001,886.1999999999999,881.4,872.9,879.6,883
,Albacete          ,954.5,965.6,939.3,954.7,950,930.7,916.9,945.3,933,921.8,905.9,928.3,900.6,892.8,912.7,938.9,918.2,938.5,919.6,913
,Ciudad Real       ,771,784.8,765.2,784.5,773.4,776.2,769.3,780.2,769.2,763.1,764.4000000000001,759.4,755,744.6999999999999,760.8,746.3,747.3,721.4,728,728.4
,Cuenca            ,775,798.7,787.5,817.4,796.2,817.1,789.1,773.7,795.5,797.1999999999999,794.9,782.4,762.9,785.7,760.6,787.5,772,757.1,778.2,776.3
,Guadalajara       ,1012.9,1000.6,1018.8,1016.8,982.4,1014.3,1020.9,1009.6,1039,1042.1,1054.2,1060.2,1076.6,1061.4,1081.1,1090.6,1108.4,1096.5,1112.9,1120.6
,Toledo            ,805.5,797.2,805.9,805.7,819.5,789.2,799,812.4,803,796.9,798.1,795.2,799.1,797.1,808.3,835.8,829.7,824.3,835.8,846.6
,Cataluña,1647.1,1673.3,1674.5,1713.7,1731.9,1754.5,1758.8,1793,1825.3999999999999,1830.1,1868,1889.1000000000001,1903.2,1945.3,1957.9,1998.4,2014.7,2027.8999999999999,2025.1,2032.5
,Barcelona,1865.1,1891.4,1896.6,1945.9,1978.6,2013.9,2027.2,2070.6,2110.6,2123.7,2173.9,2202.6,2222.1,2292.8,2315.4,2356.4,2386.5,2407.8,2403.8,2407.9
,Girona,1417.4,1445.5,1456.7,1487.6,1466.3,1461.3,1453.1,1487.7,1505.3,1489.1,1500.3,1519.8,1513.8,1488.3,1478.7,1529.4,1527.4,1519,1516.9,1545.1
,Lleida,999.3,1007,988,1025.9,1016.4,1017.8,1000.3,1013.6,1014,1000.7,1022.1,1038.5,1026.9,1052.7,1016.8,1051.3,1017.6,995.1,1018.5,1023
,Tarragona,1211.1,1240.2,1221.5,1226.2,1235.5,1237.9,1220.6,1221.3999999999999,1243.7,1236.2,1248.5,1235.8,1255.5,1243.9,1248.2,1275.2,1270.7,1282.6,1273.1,1274.2
,Comunidad Valenciana,1113.4,1132.2,1131.2,1143.4,1141.9,1141.5,1152.6999999999998,1143.1000000000001,1149.5,1141.2,1135.9,1149.1,1168,1172.4,1159.2,1192.3999999999999,1217.3,1218.7,1208.4,1223.1
,Alicante/Alacant,1207.7,1229,1213.2,1231.5,1220.1,1215.7,1229.6,1222.5,1239.6,1229.2,1220.1,1242.1,1264.2,1259.8,1244.5,1280.1,1301.5,1305.6,1296.6,1304.2
,Castellón/Castelló,1019.1,1052.8,1068.3,1065.1,1066.8,1060.9,1025.9,1047.9,1028.5,1058.1,1037.6,1039.9,1032.1,1031.7,1042,1060.3,1087.8,1070.7,1058.3,1066
,Valencia/València,1046.6,1056.6,1064.1,1075.5,1082.9,1089.5,1111.2,1089.1,1092.9,1075.5,1078.5,1086.3999999999999,1110.9,1125.4,1107.7,1144,1171.6,1176.7,1166.6,1190.6
,Extremadura,847.7,855.9,858.4,867.8,884.1,880,853.2,861.4,861.3,860.6,850.3,861.8000000000001,857.2,854.1,851.7,865.8,843.8,858.7,863.4,855.4
,Badajoz           ,878.1,874.3,873.1,881,889.8,890.5,855.9,857.5,876.2,858.8,842.2,853.1,864.7,856.5,865.8,868.6,851.4,860.2,868.1,869.1
,Cáceres           ,796.7,821.8,829.6,841.2,868.8,858.7,843.9,861.8,835.8,861.1,859.5,872.4000000000001,845.7,850.9,833,862.4,833.9,857.1,857.3,837.1
,Galicia,1156.8,1167.4,1167.8,1175.4,1190.3999999999999,1190.1,1176.5,1181.1000000000001,1170.8,1177.8,1191.2,1177.5,1180.8000000000002,1189.8,1169.5,1185.6000000000001,1182.1,1195.2,1191.6,1198
,Coruña (A),1168.4,1176.5,1191.6,1197.7,1232.7,1204.6,1211.1,1197.8,1204.4,1213.3,1220.7,1205.5,1210.7,1212.9,1186.3,1216.4,1214.6,1233.3,1221,1238
,Lugo,805,837.9,815.6,818.4,844.9,871.4,846.5,829.7,826,844.3,847.8,852,864.4,869,885.2,853.7,825.2,843.6,866.5,838.7
,Ourense,956.4,938.4,950.8,976.5,942.9,943.7,939.8,948.4,911.5,940.7,946.5,931.9,947.7,945.8,912.5,923.5,952.4,950.5,929.9,949.7
,Pontevedra,1199.5,1214.2,1200.9,1202.8,1213.3,1236.9,1201.9,1235.3,1218.1,1209,1239.3,1224.4,1217.5,1242.7,1225.1,1249.3,1245.5,1255,1258.1,1263.2
,Madrid (Comunidad de),2032.3,2066.9,2063.1,2090.1,2122.9,2170.4,2157.5,2195.4,2226.8,2255.7,2296.8,2347.2,2406.9,2476.4,2490.2,2541.4,2606.8,2601.9,2603.7,2664.2
,Murcia (Región de),971.2,979.5,978.3,984.9,979.7,975.3,976.1,961.7,966.8,964.8,959.9,982.8,983.5,978.8,955.4,968.3,994.4,988.8,981.3,966.1999999999999
,Navarra (Comunidad Foral de),1287.5890748898676,1315.8,1302.1,1309.6,1288.3,1295.3,1335.4,1282.1,1326.1,1306.8,1318.5,1338.7,1311.1000000000001,1352.7,1361.4,1368.8,1403,1396.4,1423.5,1454
,País Vasco,2388,2425.6,2389.5,2372.2,2343.8,2383.2000000000003,2341.4,2335.2999999999997,2380.7,2378,2349.8,2372.8,2347.3,2370.2999999999997,2326.5,2366.2,2397.1,2370.2,2394.1,2415.4
,Araba/Alava,1914.6,2007.5,1964.7,1952.8,1887.3,1904.3,1891.1,1839.1,1909.1999999999998,1884.7,1890,1925.5,1889.2,1899.8,1885.1,1929,1980.6999999999998,1954.5,1902.1999999999998,1951.3
,Gipuzkoa,2640.9,2689,2692.6,2660.4,2571.2,2659.3,2634.3,2601.6,2649.9,2679.8,2636.2,2661.4,2604.1,2685.2,2606.2,2677.9,2665.2999999999997,2659.6,2712.6,2686.7999999999997
,Bizkaia,2371.1,2389.3,2332.6,2322.1,2337.2,2352.5,2292,2314.4,2351.6,2336.1,2308.8,2326.2,2323.6,2315.9,2285.4,2304.9,2361.4,2319.5,2345.3,2385.9
,Rioja (La),1069.5,1081.7,1101.4,1069.4,1047.1,1080.7,1044.1,1075.3,1058.5,1078.5,1050.5,1055.3,1054.9,1087.9,1113.5,1108.2,1105.4,1063.3,1049.9,1083.5
,Ceuta y Melilla,1542.1,1522,1538,1531.3,1544.1,1563.7,1562.8,1583,1619.1,1660.5,1631.7,1604.2,1643.4,1642,1624.7,1640.1000000000001,1677.1,1655.3,1669.1,1667.5
,Ceuta,1676.5,1704.5,1703,1694.3,1673.6,1735.7,1703.4,1735.4,1749,1811.7,1751.4,1745,1784.2,1719.3,1699,1676.8,1706.8,1704.3,1768,1706.7
,Melilla,1484.6,1414.6,1449.1,1447,1469.2,1447.5,1476.6,1485.5,1539.2,1557.2,1551.5,1501.3999999999999,1539.1,1596.8,1579.9,1629.4,1670.5,1627.6,1592.7,1649.4
