Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,,,,,,,,,,,
,Valor tasado medio de vivienda libre con mas de cinco años de antigüedad. ,,,,,,,,,,,,,,,,,,,,
,"Años: 2015, 2016, 2017, 2018 y 2019",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Unidad: euros / m2,,,,,,,,,,,,,,,,,,,,
,,Año 2015,,,,Año 2016,,,,Año 2017,,,,Año 2018,,,,Año 2019,,,
,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,
,,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º 
,TOTAL NACIONAL,1448.5,1467.5,1465.8999999999999,1481.2,1486.3999999999999,1500.1999999999998,1492.8,1503.6,1517.6000000000001,1521.5,1531.5,1550.7,1559.4,1581.1,1582.1,1611.7,1628.7,1629.6,1630.7,1644.8000000000002
,Andalucía,1205.6,1210.2,1215.9,1220.6,1207.5,1220.3000000000002,1209.8,1212.1999999999998,1225,1229.4,1219,1242,1242.8,1259.2,1265.1,1295.9,1299.9,1300.3999999999999,1304.5,1310.8
,Almería           ,1071.7,1075.3,1091.6,1099.5,1076.3,1099.5,1088,1104.2,1107.6,1091.6,1073,1086.3,1094,1093.9,1074.3,1089.4,1113,1125.4,1113.1,1126.4
,Cádiz             ,1306.6,1302.2,1309.9,1290.5,1288.3,1297.8,1272,1253.8,1285.6,1279.4,1260.9,1288.6000000000001,1288.2,1288.1,1304,1337.4,1350.8,1341.6,1356.3,1342.1
,Córdoba           ,1144.8,1139.5,1145.5,1168.2,1144.3,1128.9,1142.2,1137.8,1131,1138.3,1117.4,1127.2,1139.4,1154.3,1127.5,1139.5,1147.6,1162.9,1118.7,1136.6
,Granada           ,1059.8,1070,1057.7,1075.1,1080.3,1080.6,1069,1088.4,1049.3,1082.6,1052.6,1082.4,1092.6,1093.1,1098.7,1122.8,1116.2,1123.7,1112.7,1110.2
,Huelva            ,1059,1081.8999999999999,1080.4,1098.1,1051.2,1073,1065.2,1032.6,1040.5,1057.2,1043.6,1079.3,1048.8,1066.9,1060.5,1093,1082.2,1071.3,1096.3,1102.2
,Jaén              ,806.7,827.5,820,805.3,819.2,811,830.4,828,807.3,804.2,815.4,810.4,796.2,811.6,801.5,819.1,807.1,781.9,796.8,797.5
