Region,City,Year,Quarter,Total
País Vasco,Total,2011,1,2575.7
País Vasco,Araba/Álava,2011,1,2109.5
País Vasco,Gipuzkoa,2011,1,2791.4
País Vasco,Bizkaia,2011,1,2561.8
La Rioja,La Rioja,2011,1,1427.5
Ceuta,Ceuta,2011,1,1753.1
Melilla,Melilla,2011,1,1505.1
Andalucía,Total,2011,2,1503.4
Andalucía,Almería,2011,2,1377.3
Andalucía,Cádiz,2011,2,1668.6
Andalucía,Córdoba,2011,2,1332.5
Andalucía,Granada,2011,2,1276.8
Andalucía,Huelva,2011,2,1415.3
Andalucía,Jaén,2011,2,1017.1
Andalucía,Málaga,2011,2,1810.5
Andalucía,Sevilla,2011,2,1568.3
Aragón,Total,2011,2,1510.1
Aragón,Huesca,2011,2,1401.2
Aragón,Teruel,2011,2,956.0
Aragón,Zaragoza,2011,2,1637.1
Principado de Asturias,Asturias,2011,2,1596.7
Illes Balears,Illes Balears,2011,2,1985.8
Canarias,Total,2011,2,1483.6
Canarias,Las Palmas,2011,2,1509.2
Canarias,Santa Cruz de Tenerife,2011,2,1449.2
Cantabria,Cantabria,2011,2,1773.5
Castilla y León,Total,2011,2,1296.4
Castilla y León,Ávila,2011,2,1176.5
Castilla y León,Burgos,2011,2,1523.5
Castilla y León,León,2011,2,1117.3
Castilla y León,Palencia,2011,2,1176.0
Castilla y León,Salamanca,2011,2,1423.2
Castilla y León,Segovia,2011,2,1338.4
Castilla y León,Soria,2011,2,1301.6999999999998
Castilla y León,Valladolid,2011,2,1351.9
Castilla y León,Zamora,2011,2,1031.2
Castilla - La Mancha,Total,2011,2,1146.5
Castilla - La Mancha,Albacete,2011,2,1156.6
Castilla - La Mancha,Ciudad Real,2011,2,940.5
Castilla - La Mancha,Cuenca,2011,2,999.3
Castilla - La Mancha,Guadalajara,2011,2,1432.8
Castilla - La Mancha,Toledo,2011,2,1138.6
Cataluña,Total,2011,2,2108.3
Cataluña,Barcelona,2011,2,2379.4
Cataluña,Girona,2011,2,1829.5
Cataluña,Lleida,2011,2,1186.6
Cataluña,Tarragona,2011,2,1672.0
Comunitat Valenciana,Total,2011,2,1325.7
