Region,City,Year,Quarter,Total_Transactions,Total_Price,Regime,Condition
Cantabria,Cantabria,2004,1,1642,183685000,Libre,Segunda mano
Cantabria,Cantabria,2005,1,2104,282850500,Libre,Segunda mano
Cantabria,Cantabria,2009,1,499,82172800,Libre,Segunda mano
Cantabria,Cantabria,2007,1,1694,292133900,Libre,Segunda mano
Cantabria,Cantabria,2006,1,1895,297149200,Libre,Segunda mano
Cantabria,Cantabria,2012,1,482,69979500,Libre,Segunda mano
Cantabria,Cantabria,2024,1,2105,321070700,Libre,Segunda mano
Cantabria,Cantabria,2014,1,659,87944000,Libre,Segunda mano
Cantabria,Cantabria,2008,1,852,159169000,Libre,Segunda mano
Cantabria,Cantabria,2010,1,703,115624200,Libre,Segunda mano
Cantabria,Cantabria,2011,1,513,75653200,Libre,Segunda mano
Cantabria,Cantabria,2017,1,1094,140022400,Libre,Segunda mano
Cantabria,Cantabria,2019,1,1432,184367600,Libre,Segunda mano
Cantabria,Cantabria,2015,1,777,95321500,Libre,Segunda mano
Cantabria,Cantabria,2025,1,2287,408122900,Libre,Segunda mano
Cantabria,Cantabria,2021,1,1593,217379100,Libre,Segunda mano
Cantabria,Cantabria,2020,1,1355,168953300,Libre,Segunda mano
Cantabria,Cantabria,2016,1,925,114458800,Libre,Segunda mano
Cantabria,Cantabria,2023,1,1768,251907100,Libre,Segunda mano
Cantabria,Cantabria,2013,1,384,48773700,Libre,Segunda mano
Cantabria,Cantabria,2022,1,1959,281688100,Libre,Segunda mano
Cantabria,Cantabria,2018,1,1167,137913200,Libre,Segunda mano
Cantabria,Cantabria,2025,2,2515,460290700,Libre,Segunda mano
Cantabria,Cantabria,2023,2,2077,295151500,Libre,Segunda mano
Cantabria,Cantabria,2022,2,2529,355773700,Libre,Segunda mano
Cantabria,Cantabria,2021,2,2241,303650700,Libre,Segunda mano
Cantabria,Cantabria,2018,2,1719,213791000,Libre,Segunda mano
Cantabria,Cantabria,2016,2,1186,153493200,Libre,Segunda mano
Cantabria,Cantabria,2019,2,1690,204252400,Libre,Segunda mano
Cantabria,Cantabria,2017,2,1459,179967400,Libre,Segunda mano
Cantabria,Cantabria,2011,2,722,109157700,Libre,Segunda mano
Cantabria,Cantabria,2014,2,709,92637600,Libre,Segunda mano
Cantabria,Cantabria,2008,2,825,146791500,Libre,Segunda mano
Cantabria,Cantabria,2012,2,533,80592000,Libre,Segunda mano
Cantabria,Cantabria,2024,2,2585,413572200,Libre,Segunda mano
Cantabria,Cantabria,2013,2,641,91097100,Libre,Segunda mano
Cantabria,Cantabria,2006,2,2018,322678200,Libre,Segunda mano
Cantabria,Cantabria,2020,2,915,119435400,Libre,Segunda mano
Cantabria,Cantabria,2010,2,1058,175362300,Libre,Segunda mano
Cantabria,Cantabria,2015,2,979,123089600,Libre,Segunda mano
Cantabria,Cantabria,2007,2,1631,297532100,Libre,Segunda mano
Cantabria,Cantabria,2005,2,2435,324996600,Libre,Segunda mano
Cantabria,Cantabria,2004,2,2153,291696000,Libre,Segunda mano
Cantabria,Cantabria,2009,2,624,102203300,Libre,Segunda mano
Cantabria,Cantabria,2010,4,1288,211829200,Libre,Segunda mano
Cantabria,Cantabria,2013,4,784,105678700,Libre,Segunda mano
Cantabria,Cantabria,2020,4,2071,287633400,Libre,Segunda mano
Cantabria,Cantabria,2025,4,2348,447369100,Libre,Segunda mano
Cantabria,Cantabria,2011,4,691,107196000,Libre,Segunda mano
Cantabria,Cantabria,2015,4,1124,151322400,Libre,Segunda mano
Cantabria,Cantabria,2019,4,1818,226473900,Libre,Segunda mano
Cantabria,Cantabria,2017,4,1926,254676500,Libre,Segunda mano
Cantabria,Cantabria,2016,4,1336,168426700,Libre,Segunda mano
Cantabria,Cantabria,2021,4,2408,350167000,Libre,Segunda mano
Cantabria,Cantabria,2018,4,1779,223272700,Libre,Segunda mano
Cantabria,Cantabria,2022,4,2092,315129900,Libre,Segunda mano
Cantabria,Cantabria,2023,4,2026,294016400,Libre,Segunda mano
Cantabria,Cantabria,2008,4,583,96722400,Libre,Segunda mano
Cantabria,Cantabria,2014,4,1060,140003000,Libre,Segunda mano
Cantabria,Cantabria,2024,4,2512,415566300,Libre,Segunda mano
Cantabria,Cantabria,2012,4,924,119670400,Libre,Segunda mano
Cantabria,Cantabria,2006,4,1851,323856400,Libre,Segunda mano
Cantabria,Cantabria,2007,4,1087,198711700,Libre,Segunda mano
Cantabria,Cantabria,2009,4,937,159185000,Libre,Segunda mano
Cantabria,Cantabria,2005,4,2637,391980400,Libre,Segunda mano
Cantabria,Cantabria,2004,4,2271,391536900,Libre,Segunda mano
Cantabria,Cantabria,2004,3,1947,273163100,Libre,Segunda mano
Cantabria,Cantabria,2005,3,1961,278600800,Libre,Segunda mano
Cantabria,Cantabria,2009,3,711,124345200,Libre,Segunda mano
Cantabria,Cantabria,2014,3,769,96704400,Libre,Segunda mano
Cantabria,Cantabria,2006,3,1678,278257100,Libre,Segunda mano
Cantabria,Cantabria,2007,3,1202,220935500,Libre,Segunda mano
Cantabria,Cantabria,2024,3,2259,373101700,Libre,Segunda mano
Cantabria,Cantabria,2019,3,1495,191158100,Libre,Segunda mano
Cantabria,Cantabria,2008,3,560,94276500,Libre,Segunda mano
Cantabria,Cantabria,2010,3,703,111714900,Libre,Segunda mano
Cantabria,Cantabria,2011,3,609,91553000,Libre,Segunda mano
Cantabria,Cantabria,2012,3,569,80880800,Libre,Segunda mano
Cantabria,Cantabria,2013,3,549,71287400,Libre,Segunda mano
Cantabria,Cantabria,2018,3,1561,210537400,Libre,Segunda mano
Cantabria,Cantabria,2015,3,1049,129873700,Libre,Segunda mano
Cantabria,Cantabria,2016,3,1076,132973700,Libre,Segunda mano
Cantabria,Cantabria,2017,3,1395,181941300,Libre,Segunda mano
Cantabria,Cantabria,2020,3,1772,226102500,Libre,Segunda mano
Cantabria,Cantabria,2021,3,2376,327403800,Libre,Segunda mano
Cantabria,Cantabria,2022,3,1994,298276400,Libre,Segunda mano
Cantabria,Cantabria,2023,3,1819,258756400,Libre,Segunda mano
Cantabria,Cantabria,2025,3,2173,420897200,Libre,Segunda mano
La Rioja,La Rioja,2004,3,1168,89131700,Libre,Segunda mano
La Rioja,La Rioja,2005,3,992,135200000,Libre,Segunda mano
La Rioja,La Rioja,2009,3,326,44185700,Libre,Segunda mano
La Rioja,La Rioja,2014,3,467,47644300,Libre,Segunda mano
La Rioja,La Rioja,2006,3,923,134053000,Libre,Segunda mano
La Rioja,La Rioja,2007,3,572,80136900,Libre,Segunda mano
La Rioja,La Rioja,2024,3,1150,123950600,Libre,Segunda mano
La Rioja,La Rioja,2019,3,821,78979200,Libre,Segunda mano
La Rioja,La Rioja,2008,3,303,39495800,Libre,Segunda mano
La Rioja,La Rioja,2010,3,357,50136600,Libre,Segunda mano
La Rioja,La Rioja,2011,3,280,34283300,Libre,Segunda mano
La Rioja,La Rioja,2012,3,347,41000300,Libre,Segunda mano
La Rioja,La Rioja,2013,3,436,42063000,Libre,Segunda mano
La Rioja,La Rioja,2018,3,953,105566500,Libre,Segunda mano
La Rioja,La Rioja,2015,3,641,57004700,Libre,Segunda mano
La Rioja,La Rioja,2016,3,635,65297300,Libre,Segunda mano
La Rioja,La Rioja,2017,3,821,73307500,Libre,Segunda mano
La Rioja,La Rioja,2020,3,958,86331700,Libre,Segunda mano
La Rioja,La Rioja,2021,3,1154,122592900,Libre,Segunda mano
La Rioja,La Rioja,2022,3,1060,108919200,Libre,Segunda mano
La Rioja,La Rioja,2023,3,945,95993900,Libre,Segunda mano
La Rioja,La Rioja,2025,3,1275,172477400,Libre,Segunda mano
La Rioja,La Rioja,2010,4,661,91718300,Libre,Segunda mano
La Rioja,La Rioja,2013,4,483,54057000,Libre,Segunda mano
La Rioja,La Rioja,2020,4,1219,133979500,Libre,Segunda mano
La Rioja,La Rioja,2025,4,1484,182631600,Libre,Segunda mano
La Rioja,La Rioja,2011,4,424,63021100,Libre,Segunda mano
La Rioja,La Rioja,2015,4,765,67748200,Libre,Segunda mano
La Rioja,La Rioja,2019,4,1119,134028100,Libre,Segunda mano
La Rioja,La Rioja,2017,4,945,92199400,Libre,Segunda mano
La Rioja,La Rioja,2016,4,775,70911000,Libre,Segunda mano
La Rioja,La Rioja,2021,4,1364,140603300,Libre,Segunda mano
La Rioja,La Rioja,2018,4,1185,111218300,Libre,Segunda mano
La Rioja,La Rioja,2022,4,1174,117067000,Libre,Segunda mano
La Rioja,La Rioja,2023,4,1079,105269600,Libre,Segunda mano
La Rioja,La Rioja,2008,4,337,45861800,Libre,Segunda mano
La Rioja,La Rioja,2014,4,832,79127000,Libre,Segunda mano
La Rioja,La Rioja,2024,4,1427,154228500,Libre,Segunda mano
La Rioja,La Rioja,2012,4,648,71208300,Libre,Segunda mano
La Rioja,La Rioja,2006,4,911,134044800,Libre,Segunda mano
La Rioja,La Rioja,2007,4,552,83273000,Libre,Segunda mano
La Rioja,La Rioja,2009,4,399,58874800,Libre,Segunda mano
La Rioja,La Rioja,2005,4,1285,181259700,Libre,Segunda mano
La Rioja,La Rioja,2004,4,1356,110720300,Libre,Segunda mano
La Rioja,La Rioja,2025,2,1337,166756600,Libre,Segunda mano
La Rioja,La Rioja,2023,2,1041,99302200,Libre,Segunda mano
La Rioja,La Rioja,2022,2,1287,139522400,Libre,Segunda mano
La Rioja,La Rioja,2021,2,1215,128458300,Libre,Segunda mano
La Rioja,La Rioja,2018,2,1067,102203000,Libre,Segunda mano
La Rioja,La Rioja,2016,2,780,69018100,Libre,Segunda mano
La Rioja,La Rioja,2019,2,1022,98371600,Libre,Segunda mano
La Rioja,La Rioja,2017,2,886,81870600,Libre,Segunda mano
La Rioja,La Rioja,2011,2,406,46811100,Libre,Segunda mano
La Rioja,La Rioja,2014,2,492,44437600,Libre,Segunda mano
La Rioja,La Rioja,2008,2,419,57477300,Libre,Segunda mano
La Rioja,La Rioja,2012,2,411,49738900,Libre,Segunda mano
La Rioja,La Rioja,2024,2,1254,132861200,Libre,Segunda mano
La Rioja,La Rioja,2013,2,428,44181000,Libre,Segunda mano
La Rioja,La Rioja,2006,2,1175,168170900,Libre,Segunda mano
La Rioja,La Rioja,2020,2,587,73208400,Libre,Segunda mano
La Rioja,La Rioja,2010,2,563,82436400,Libre,Segunda mano
La Rioja,La Rioja,2015,2,780,88204800,Libre,Segunda mano
La Rioja,La Rioja,2007,2,865,130500200,Libre,Segunda mano
La Rioja,La Rioja,2005,2,1115,143504600,Libre,Segunda mano
La Rioja,La Rioja,2004,2,1301,105346100,Libre,Segunda mano
La Rioja,La Rioja,2009,2,328,45134600,Libre,Segunda mano
La Rioja,La Rioja,2004,1,1027,100298100,Libre,Segunda mano
La Rioja,La Rioja,2005,1,981,119469500,Libre,Segunda mano
La Rioja,La Rioja,2009,1,281,41027300,Libre,Segunda mano
La Rioja,La Rioja,2007,1,838,132127100,Libre,Segunda mano
La Rioja,La Rioja,2006,1,1127,160835000,Libre,Segunda mano
La Rioja,La Rioja,2012,1,318,39262200,Libre,Segunda mano
La Rioja,La Rioja,2024,1,1023,105220900,Libre,Segunda mano
La Rioja,La Rioja,2014,1,519,52883300,Libre,Segunda mano
La Rioja,La Rioja,2008,1,434,66235500,Libre,Segunda mano
La Rioja,La Rioja,2010,1,422,57044000,Libre,Segunda mano
La Rioja,La Rioja,2011,1,305,39910600,Libre,Segunda mano
La Rioja,La Rioja,2017,1,763,64864400,Libre,Segunda mano
La Rioja,La Rioja,2019,1,1029,117865200,Libre,Segunda mano
La Rioja,La Rioja,2015,1,573,47922800,Libre,Segunda mano
La Rioja,La Rioja,2025,1,1297,156944900,Libre,Segunda mano
La Rioja,La Rioja,2021,1,964,93845400,Libre,Segunda mano
La Rioja,La Rioja,2020,1,807,80799200,Libre,Segunda mano
La Rioja,La Rioja,2016,1,802,67697700,Libre,Segunda mano
La Rioja,La Rioja,2023,1,929,100196500,Libre,Segunda mano
La Rioja,La Rioja,2013,1,261,26065600,Libre,Segunda mano
La Rioja,La Rioja,2022,1,1159,122636400,Libre,Segunda mano
La Rioja,La Rioja,2018,1,934,98483400,Libre,Segunda mano
Principado de Asturias,Asturias,2025,3,3874,516885500,Libre,Segunda mano
Principado de Asturias,Asturias,2025,4,4320,556757900,Libre,Segunda mano
Principado de Asturias,Asturias,2025,2,4340,546174200,Libre,Segunda mano
Principado de Asturias,Asturias,2025,1,4149,480506400,Libre,Segunda mano
Principado de Asturias,Asturias,2020,3,2721,278532700,Libre,Segunda mano
